Date,Close,High,Low,Open,Volume,Index_Name,Ticker
,^STOXX50E,^STOXX50E,^STOXX50E,^STOXX50E,^STOXX50E,,
2020-07-06,3350.030029296875,3375.699951171875,3314.39990234375,3314.39990234375,43068900,EURO_STOXX_50,^STOXX50E
2020-07-07,3321.56005859375,3338.719970703125,3299.989990234375,3338.719970703125,34866600,EURO_STOXX_50,^STOXX50E
2020-07-08,3286.090087890625,3324.85009765625,3278.10009765625,3310.830078125,38168200,EURO_STOXX_50,^STOXX50E
2020-07-09,3261.169921875,3315.5400390625,3253.580078125,3291.699951171875,33328900,EURO_STOXX_50,^STOXX50E
2020-07-10,3296.219970703125,3299.5400390625,3241.2900390625,3255.39990234375,31875100,EURO_STOXX_50,^STOXX50E
2020-07-13,3350.0,3353.260009765625,3307.56005859375,3311.820068359375,32803300,EURO_STOXX_50,^STOXX50E
2020-07-14,3321.389892578125,3330.080078125,3277.39990234375,3330.080078125,36816100,EURO_STOXX_50,^STOXX50E
2020-07-15,3378.2099609375,3399.7099609375,3331.840087890625,3331.840087890625,46656400,EURO_STOXX_50,^STOXX50E
2020-07-16,3365.35009765625,3376.580078125,3340.9599609375,3371.050048828125,34867400,EURO_STOXX_50,^STOXX50E
2020-07-17,3365.60009765625,3375.219970703125,3353.97998046875,3370.510009765625,40426900,EURO_STOXX_50,^STOXX50E
2020-07-20,3388.340087890625,3393.429931640625,3332.639892578125,3361.25,31559400,EURO_STOXX_50,^STOXX50E
2020-07-21,3405.35009765625,3451.159912109375,3401.419921875,3404.159912109375,50373700,EURO_STOXX_50,^STOXX50E
2020-07-22,3370.760009765625,3402.18994140625,3361.530029296875,3399.8798828125,37088700,EURO_STOXX_50,^STOXX50E
2020-07-23,3371.739990234375,3400.919921875,3362.340087890625,3379.570068359375,35874300,EURO_STOXX_50,^STOXX50E
2020-07-24,3310.889892578125,3349.5400390625,3294.889892578125,3349.5400390625,34261300,EURO_STOXX_50,^STOXX50E
2020-07-27,3302.840087890625,3317.179931640625,3292.47998046875,3308.169921875,29102600,EURO_STOXX_50,^STOXX50E
2020-07-28,3303.56005859375,3316.820068359375,3280.669921875,3302.679931640625,31361200,EURO_STOXX_50,^STOXX50E
2020-07-29,3300.159912109375,3314.9599609375,3293.6201171875,3304.219970703125,35922800,EURO_STOXX_50,^STOXX50E
2020-07-30,3208.199951171875,3300.610107421875,3174.3798828125,3300.610107421875,60167300,EURO_STOXX_50,^STOXX50E
2020-07-31,3174.320068359375,3245.969970703125,3174.320068359375,3211.2099609375,55693300,EURO_STOXX_50,^STOXX50E
2020-08-03,3248.280029296875,3263.64990234375,3173.97998046875,3177.760009765625,48849300,EURO_STOXX_50,^STOXX50E
2020-08-04,3254.2900390625,3278.56005859375,3230.52001953125,3253.840087890625,47676200,EURO_STOXX_50,^STOXX50E
2020-08-05,3268.3798828125,3293.169921875,3258.320068359375,3258.320068359375,41255600,EURO_STOXX_50,^STOXX50E
2020-08-06,3240.389892578125,3286.10009765625,3223.75,3264.080078125,65362700,EURO_STOXX_50,^STOXX50E
2020-08-07,3252.64990234375,3256.919921875,3220.050048828125,3240.52001953125,37015800,EURO_STOXX_50,^STOXX50E
2020-08-10,3259.7099609375,3276.610107421875,3239.25,3259.27001953125,26234200,EURO_STOXX_50,^STOXX50E
2020-08-11,3332.1201171875,3349.760009765625,3269.909912109375,3269.909912109375,43225800,EURO_STOXX_50,^STOXX50E
2020-08-12,3363.179931640625,3377.43994140625,3321.4599609375,3327.8798828125,39366300,EURO_STOXX_50,^STOXX50E
2020-08-13,3342.85009765625,3368.070068359375,3336.570068359375,3358.090087890625,27817400,EURO_STOXX_50,^STOXX50E
2020-08-14,3305.050048828125,3339.330078125,3275.909912109375,3339.330078125,30330400,EURO_STOXX_50,^STOXX50E
2020-08-17,3305.85009765625,3319.10009765625,3285.989990234375,3305.64990234375,23388300,EURO_STOXX_50,^STOXX50E
2020-08-18,3289.639892578125,3333.639892578125,3276.02001953125,3301.360107421875,28149600,EURO_STOXX_50,^STOXX50E
2020-08-19,3317.6201171875,3317.840087890625,3275.510009765625,3287.080078125,21319800,EURO_STOXX_50,^STOXX50E
2020-08-20,3273.97998046875,3306.68994140625,3257.60009765625,3306.68994140625,27996100,EURO_STOXX_50,^STOXX50E
2020-08-21,3259.75,3292.570068359375,3221.419921875,3277.610107421875,35550800,EURO_STOXX_50,^STOXX50E
