Date,Close,High,Low,Open,Volume,ETF_Name,Ticker
,QCLN,QCLN,QCLN,QCLN,QCLN,,
2020-07-06,31.78569793701172,31.815077278260087,31.07086289085855,31.207955899566226,143200,First_Trust_Clean_Edge_Green,QCLN
2020-07-07,32.02070617675781,32.23613345911269,31.423377434984584,31.824860136519497,130800,First_Trust_Clean_Edge_Green,QCLN
2020-07-08,32.6670036315918,32.990146503340455,32.14801467082248,32.167595917816435,177600,First_Trust_Clean_Edge_Green,QCLN
2020-07-09,33.09786605834961,33.22516659198994,32.089263620274636,33.17620599765255,116100,First_Trust_Clean_Edge_Green,QCLN
2020-07-10,33.52873229980469,33.55810791286134,32.75514211537503,33.10766441387231,74800,First_Trust_Clean_Edge_Green,QCLN
2020-07-13,32.90203094482422,35.08571078973261,32.85307033411911,34.302326076630244,179500,First_Trust_Clean_Edge_Green,QCLN
2020-07-14,34.03792190551758,34.09667685824835,32.22635382070408,32.81388840619662,146800,First_Trust_Clean_Edge_Green,QCLN
2020-07-15,34.9486083984375,35.036738973097705,34.17502194914721,34.66463542271404,116000,First_Trust_Clean_Edge_Green,QCLN
2020-07-16,34.3708610534668,34.68421334765747,34.223979266757794,34.38065541385313,248100,First_Trust_Clean_Edge_Green,QCLN
2020-07-17,34.635257720947266,34.635257720947266,34.07709863337937,34.48837591316624,53600,First_Trust_Clean_Edge_Green,QCLN
2020-07-20,35.624267578125,35.65364318310885,34.684207128655174,34.70379211046218,97600,First_Trust_Clean_Edge_Green,QCLN
2020-07-21,35.29132843017578,36.12366956650555,35.203197884585904,36.03553902091567,71100,First_Trust_Clean_Edge_Green,QCLN
2020-07-22,35.35009002685547,35.575315503801406,35.066117061338055,35.31092378932308,56200,First_Trust_Clean_Edge_Green,QCLN
2020-07-23,35.026947021484375,35.8886677482738,34.61566977681848,35.51656047651974,210600,First_Trust_Clean_Edge_Green,QCLN
2020-07-24,34.331695556640625,34.59608726094779,33.60706602608165,34.390446778406165,118500,First_Trust_Clean_Edge_Green,QCLN
2020-07-27,35.095481872558594,35.15423681395642,34.24355576728199,34.50794740039261,132700,First_Trust_Clean_Edge_Green,QCLN
2020-07-28,34.253353118896484,34.98777322110812,34.22397751015323,34.948603252481256,62700,First_Trust_Clean_Edge_Green,QCLN
2020-07-29,34.782135009765625,34.87026556770111,34.4687827449847,34.50795271194573,174300,First_Trust_Clean_Edge_Green,QCLN
2020-07-30,34.400238037109375,34.54711981373287,34.12605199692878,34.50795358123885,111800,First_Trust_Clean_Edge_Green,QCLN
2020-07-31,34.165218353271484,34.635246712596704,33.74415058097847,34.635246712596704,64100,First_Trust_Clean_Edge_Green,QCLN
2020-08-03,35.457801818847656,35.46759617878116,34.44919940201897,34.44919940201897,160800,First_Trust_Clean_Edge_Green,QCLN
2020-08-04,36.50557327270508,36.50557327270508,35.82990813723895,35.82990813723895,246800,First_Trust_Clean_Edge_Green,QCLN
2020-08-05,37.416255950927734,37.45542592029449,36.30973233222099,36.66225085016015,125900,First_Trust_Clean_Edge_Green,QCLN
2020-08-06,36.946231842041016,37.5533514963519,36.8091406686922,37.514185257862465,137900,First_Trust_Clean_Edge_Green,QCLN
2020-08-07,37.28895568847656,37.866695873405476,36.84830291268427,37.07352461243288,126100,First_Trust_Clean_Edge_Green,QCLN
2020-08-10,37.77857208251953,38.04296003373813,37.36729488032225,37.56314098920411,218600,First_Trust_Clean_Edge_Green,QCLN
2020-08-11,36.81892395019531,38.2583884541371,36.7307933941284,38.15067291500492,151500,First_Trust_Clean_Edge_Green,QCLN
2020-08-12,38.08213424682617,38.27798037753491,37.21062288739924,37.36729904487538,163600,First_Trust_Clean_Edge_Green,QCLN
2020-08-13,38.61091613769531,39.022189633856165,38.12130269819672,38.326939446277144,159500,First_Trust_Clean_Edge_Green,QCLN
2020-08-14,38.238807678222656,38.738215462699415,38.0821315319161,38.738215462699415,108000,First_Trust_Clean_Edge_Green,QCLN
2020-08-17,39.28657913208008,39.32574910154814,38.65008393776655,38.65008393776655,181500,First_Trust_Clean_Edge_Green,QCLN
2020-08-18,39.33553695678711,39.85452967706477,38.99280908670588,39.688059186272724,202100,First_Trust_Clean_Edge_Green,QCLN
2020-08-19,39.48242950439453,39.82515743558808,39.1886621725923,39.34533833191711,158700,First_Trust_Clean_Edge_Green,QCLN
2020-08-20,39.12990951538086,39.2865856839282,38.8361421662864,39.159288865108465,137700,First_Trust_Clean_Edge_Green,QCLN
2020-08-21,39.26698303222656,39.658675145124974,39.169061871728374,39.169061871728374,152700,First_Trust_Clean_Edge_Green,QCLN
