Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,47.81910705566406,47.84967342252888,47.736139774966354,47.80600766007687,15100.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,95,Climate Finance,Low
2020-07-07,47.91081619262695,47.94575014250018,47.71868279980902,47.88461739596444,16800.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,28,7,1,Tuesday,0.19178345772148386,0.19178345772148386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.19178345772148,95,Climate Finance,Low
2020-07-08,47.94661331176758,47.98067107425609,47.9300191892052,47.97193925429303,7400.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,28,8,2,Wednesday,0.07471615385699071,0.2666429048018282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.26664290480183,95,Climate Finance,Low
2020-07-09,47.99814224243164,48.06801013418171,47.91342925600113,48.03307618830668,22100.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,28,9,3,Thursday,0.1074714710901592,0.3744009409443194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.37440094094433,95,Climate Finance,Low
2020-07-10,47.98503875732422,48.11167180171888,47.9108066272776,48.11167180171888,15800.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,28,10,4,Friday,-0.02729998390612609,0.3469987456415691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.34699874564157,95,Climate Finance,Low
2020-07-13,47.94574737548828,47.94574737548828,47.90207827492453,47.94574737548828,9100.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,29,13,0,Monday,-0.08188256767832636,0.26483204648051206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.2648320464805,95,Climate Finance,Low
2020-07-14,47.967567443847656,48.04179956717478,47.86451465366376,48.04179956717478,3800.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,29,14,1,Tuesday,0.04550991392102688,0.31046248523791675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.31046248523792,95,Climate Finance,Low
2020-07-15,48.02434921264648,48.0680149836534,47.96321313545508,48.01561405955424,25100.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,29,15,2,Wednesday,0.11837533530398847,0.4292053315497979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.4292053315498,95,Climate Finance,Low
2020-07-16,48.15535736083984,48.15535736083984,48.0854927778059,48.15535736083984,5000.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,29,16,3,Thursday,0.2727952597822103,0.7031714431312119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.70317144313121,95,Climate Finance,Low
2020-07-17,48.16321563720703,48.190290619710886,48.080251654274406,48.15535666295742,37500.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,29,17,4,Friday,0.016318592152297917,0.7196047829634455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.71960478296344,95,Climate Finance,Low
2020-07-20,48.1972770690918,48.25142370297839,48.1815557890013,48.1815557890013,10200.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,30,20,0,Monday,0.0707208425229311,0.79083453605171,0.0,0.0,0.0,0.10271744306273899,0.0,0.0,0.0,0.0,0.0,100.7908345360517,95,Climate Finance,Low
2020-07-21,48.26275634765625,48.30380356263386,48.24267083031999,48.30380356263386,17300.0,iShares_Global_Green_Bond,BGRN,Green Bonds,Fixed Income,Global,USD,BlackRock,0.2,iShares Global Green Bond ETF,2020,3,7,30,21,1,Tuesday,0.13585680052130567,0.927765739071118,0.0,0.0,0.0,0.0972630928697943,0.0,0.0,0.0,0.0,0.0,100.92776573907112,95,Climate Finance,Low
