Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,51.819637298583984,51.99839524733109,51.65211107555604,51.99839524733109,243200.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85,Responsible Investing,Medium
2020-07-07,51.30768966674805,51.97966517154208,51.26838220575674,51.73633021003028,12700.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,28,7,1,Tuesday,-0.9879413645566548,-0.9879413645566548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.01205863544334,85,Responsible Investing,Medium
2020-07-08,51.626834869384766,51.69890212505727,51.27774816610516,51.47428549022938,4500.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,28,8,2,Wednesday,0.6220221660917069,-0.3720644127404693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.62793558725953,85,Responsible Investing,Medium
2020-07-09,51.314247131347656,51.63338733765665,50.78172200943328,51.567874894728725,24000.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,28,9,3,Thursday,-0.6054753091642162,-0.975286963751365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.02471303624864,85,Responsible Investing,Medium
2020-07-10,51.86174011230469,51.86174011230469,51.10927896054689,51.436841118570925,11900.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,28,10,4,Friday,1.0669414666761634,0.08124876188944086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08124876188944,85,Responsible Investing,Medium
2020-07-13,51.314247131347656,52.60672016138633,51.249670070438654,52.260439595887256,39300.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,29,13,0,Monday,-1.0556780003360022,-0.975286963751365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.02471303624864,85,Responsible Investing,Medium
2020-07-14,52.0367546081543,52.04517661530348,51.06716344851533,51.127998972814616,14900.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,29,14,1,Tuesday,1.4080056070144842,0.4189865481290189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.41898654812901,85,Responsible Investing,Medium
2020-07-15,52.50470352172852,52.7283811822364,52.12940830892463,52.7283811822364,7800.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,29,15,2,Wednesday,0.8992661381324929,1.3220204904121458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.32202049041214,85,Responsible Investing,Medium
2020-07-16,52.32595443725586,52.40082784412564,52.1200561385245,52.30723608553841,7100.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,29,16,3,Thursday,-0.3404439459384623,0.9770758057500162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.97707580575002,85,Responsible Investing,Medium
2020-07-17,52.57863998413086,52.70966485893217,52.241716837407445,52.70030746937211,16300.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,29,17,4,Friday,0.4829067134895615,1.4647008839014264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.46470088390143,85,Responsible Investing,Medium
2020-07-20,53.07840347290039,53.14017080613247,52.41017310885312,52.73773526271957,11700.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,30,20,0,Monday,0.9505066865943546,2.4291296503358595,0.0,0.0,0.0,0.9086418284941243,0.0,0.0,0.0,0.0,0.0,102.42912965033585,85,Responsible Investing,Medium
2020-07-21,53.11211395263672,53.5239070310644,52.94365233642517,53.5239070310644,26800.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,30,21,1,Tuesday,0.06351072664334545,2.4941831348712418,0.0,0.0,0.0,0.8051906806128398,0.0,0.0,0.0,0.0,0.0,102.49418313487124,85,Responsible Investing,Medium
2020-07-22,53.50611877441406,53.52389817317416,53.112105162895794,53.14954186478303,23500.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,30,22,2,Wednesday,0.7418360755301556,3.2545219606856746,0.0,0.0,0.0,0.8105755427983825,0.0,0.0,0.0,0.0,0.0,103.25452196068568,85,Responsible Investing,Medium
2020-07-23,52.85567474365234,53.57069937419114,52.71903398588258,53.364801070371286,9200.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,30,23,3,Thursday,-1.2156442023089853,1.9993143508487243,0.0,0.0,0.0,0.9084763889012447,0.0,59.52506374218337,0.0,0.0,0.0,101.99931435084872,85,Responsible Investing,Medium
2020-07-24,52.42890167236328,52.64415735401378,52.20428503011557,52.39146497029526,24200.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,30,24,4,Friday,-0.807430939740883,1.1757403284564205,0.0,0.0,0.0,0.9258805776689105,0.0,55.19384523729773,0.0,0.0,0.0,101.17574032845641,85,Responsible Investing,Medium
2020-07-27,52.840702056884766,52.840702056884766,52.363396534486014,52.46634569445617,20300.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,31,27,0,Monday,0.785445377236571,1.970420503751158,0.0,0.0,0.0,0.8474707512279566,0.0,63.29561274886055,0.0,0.0,0.0,101.97042050375116,85,Responsible Investing,Medium
2020-07-28,52.41954040527344,52.810747870324185,52.41954040527344,52.67223278751448,8500.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,31,28,1,Tuesday,-0.7970402269786958,1.157675232716926,0.0,0.0,0.0,0.8123578492920864,0.0,56.755488023323316,0.0,0.0,0.0,101.15767523271693,85,Responsible Investing,Medium
2020-07-29,52.9726676940918,53.112114613718525,52.64416646734215,52.64416646734215,6000.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,31,29,2,Wednesday,1.055192938629257,2.225083878654077,0.0,0.0,0.0,0.8311877053407761,0.0,63.57655767612874,0.0,0.0,0.0,102.22508387865408,85,Responsible Investing,Medium
2020-07-30,52.80794525146485,52.86878079268605,52.17621599603826,52.42890841224106,10100.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,31,30,3,Thursday,-0.31095742351167077,1.9072073916423848,0.0,0.0,0.0,0.8295342623989059,0.0,58.26395672552189,0.0,0.0,0.0,101.90720739164239,85,Responsible Investing,Medium
2020-07-31,52.634803771972656,52.86877782158637,51.94223901424535,52.86877782158637,6100.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,7,31,31,4,Friday,-0.32787013141245547,1.5730840968486426,52.367366027832034,0.0,0.0,0.8270082600894086,0.0,62.34040490171191,0.0,0.0,0.0,101.57308409684865,85,Responsible Investing,Medium
2020-08-03,53.28057098388672,53.28057098388672,52.99044187645313,53.018521190179406,5300.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,32,3,0,Monday,1.226882529498341,2.81926652030553,52.44041271209717,0.0,0.0,0.8655133571092576,0.0,61.79241154579218,0.0,0.0,0.0,102.81926652030553,85,Responsible Investing,Medium
2020-08-04,53.2618408203125,53.2618408203125,53.01850943299605,53.14017334157433,8300.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,32,4,1,Tuesday,-0.035153834180723376,2.7831216058471497,52.53812026977539,0.0,0.0,0.8657955232249165,0.0,57.84666353030469,2.7831216058471497,0.0,0.0,102.78312160584716,85,Responsible Investing,Medium
2020-08-05,53.673641204833984,53.71107790657772,53.57069563027928,53.57069563027928,13500.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,32,5,2,Wednesday,0.7731621329250649,3.577801781141887,52.64046058654785,0.0,0.0,0.868702903399995,0.0,63.32329683790054,4.611300086698855,0.0,0.0,103.57780178114189,85,Responsible Investing,Medium
2020-08-06,53.84210205078125,53.86456549958218,53.46774574898221,53.53325819105105,35500.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,32,6,3,Thursday,0.3138614078824542,3.90289252806586,52.76685333251953,0.0,0.0,0.7507448827917031,0.0,62.70217656926295,4.290921934302339,0.0,0.0,103.90289252806586,85,Responsible Investing,Medium
2020-08-07,53.923526763916016,53.923526763916016,53.626846440066885,53.72043819325226,4600.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,32,7,4,Friday,0.15122870399444377,4.060023525848799,52.8699426651001,0.0,0.0,0.6659893870868264,0.0,59.27673430009949,5.084902884552633,0.0,0.0,104.0600235258488,85,Responsible Investing,Medium
2020-08-10,53.97126007080078,53.9815564139386,53.92633674011314,53.92633674011314,4800.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,33,10,0,Monday,0.08852037273776592,4.15213784654489,53.002793312072754,0.0,0.0,0.6437166025644401,0.0,59.401716537536736,4.067584222835574,0.0,0.0,104.15213784654489,85,Responsible Investing,Medium
2020-08-11,53.62029647827149,54.258576898571874,53.62029647827149,54.24453902779841,71600.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,33,11,1,Tuesday,-0.650278670664517,3.4748587090877026,53.081970405578616,0.0,0.0,0.6193208432944537,0.0,51.261339242142995,4.4939748234464005,0.0,0.0,103.4748587090877,85,Responsible Investing,Medium
2020-08-12,54.47102355957031,54.59082028615744,54.39895987528597,54.44575396544772,2400.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,33,12,2,Wednesday,1.5865766084369959,5.116566612979323,53.1802864074707,0.0,0.0,0.7137368441957865,0.0,67.08881499297824,4.677979958101686,0.0,0.0,105.11656661297933,85,Responsible Investing,Medium
2020-08-13,54.32876586914063,54.51688117816895,54.26325343019147,54.450433357257694,2300.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,33,13,3,Thursday,-0.2611621393053265,4.8420419388485625,53.28042697906494,0.0,0.0,0.7093033600668183,0.0,71.38610919309257,3.4740932241570377,0.0,0.0,104.84204193884857,85,Responsible Investing,Medium
2020-08-14,54.31193161010742,54.46916149183019,54.188393335873705,54.26326317805373,4800.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,33,14,4,Friday,-0.03098590362563547,4.809555684774236,53.36709156036377,0.0,0.0,0.6865767242655805,0.0,68.17745636079482,3.7953959831405593,0.0,0.0,104.80955568477424,85,Responsible Investing,Medium
2020-08-17,54.76396560668945,54.76396560668945,54.525311075892304,54.525311075892304,2400.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,34,17,0,Monday,0.8322922480958228,5.681877492002285,53.45136966705322,0.0,0.0,0.638050691713832,0.7913722871074358,78.74673394758048,4.1562992561583245,0.0,0.0,105.68187749200229,85,Responsible Investing,Medium
2020-08-18,54.824806213378906,54.96518851435084,54.57211378743621,54.96518851435084,12500.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,34,18,1,Tuesday,0.11109605744479278,5.799285891329542,53.53700428009033,0.0,0.0,0.6317506613911927,0.7598992215562226,75.8286245040702,3.290232234227153,0.0,0.0,105.79928589132955,85,Responsible Investing,Medium
2020-08-19,54.675048828125,54.94645955584883,54.675048828125,54.937102165654366,4900.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,34,19,2,Wednesday,-0.2731562509697638,5.510288528436003,53.59545078277588,0.0,0.0,0.6297438560554178,0.7613068805201446,76.14644788659558,2.942708845823838,0.0,0.0,105.510288528436,85,Responsible Investing,Medium
2020-08-20,54.850059509277344,54.9137011846207,54.52530345879306,54.52530345879306,14900.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,34,20,3,Thursday,0.32009240943251527,5.848018953185852,53.69517002105713,0.0,0.0,0.6298866132607486,0.7463906728041144,81.00565102064365,2.511751488702507,0.0,0.0,105.84801895318586,85,Responsible Investing,Medium
2020-08-21,54.9193229675293,54.97454264096471,54.76864434094743,54.77800173178433,5400.0,iShares_MSCI_USA_ESG_Select,SUSL,ESG Equity,Equity,United States,USD,BlackRock,0.25,iShares MSCI USA ESG Select ETF,2020,3,8,34,21,4,Friday,0.1262778178759083,5.981681521784821,53.81969108581543,0.0,0.0,0.6300952951639819,0.7293680125833375,77.35047578058462,3.904307785087524,0.0,0.0,105.98168152178482,85,Responsible Investing,Medium
