ETF_Name,Close_mean,Close_min,Close_max,Close_std,Daily_Return_mean,Daily_Return_min,Daily_Return_max,Daily_Return_std,Volatility_30D_mean,Volatility_30D_min,Volatility_30D_max,ESG_Score_first,Category_first,Asset_Class_first,Expense_Ratio_first,Date_min,Date_max
First_Trust_Clean_Edge_Green,48.898040058698314,24.4471492767334,86.4647445678711,14.00738157829028,0.035626868576107654,-7.943651733523405,12.183160836638042,2.4983591867217085,2.375959928694732,0.0,4.474933491646431,90,Clean Energy,Equity,0.6,2020-07-06,2025-07-02
Franklin_Liberty_Green_Bond,22.15350284804386,14.051434516906738,33.52000045776367,3.586659220310652,0.05372475835953893,-6.599924946798352,9.480123659062322,1.291319529381841,1.1680906432777434,0.0,2.946467331357221,95,Green Bonds,Fixed Income,0.15,2020-07-06,2025-07-02
Invesco_Global_Water,36.219276797533986,27.50657081604004,45.25,4.120439460820761,0.044174939626284306,-5.859966432748253,7.544006507622503,1.1035425504913305,1.0228034209784436,0.0,2.244605531424236,80,Water/Environmental,Equity,0.75,2020-07-06,2025-07-02
Invesco_Water_Resources,55.162573798434195,35.40580749511719,71.81903076171875,8.654140303075096,0.06134328298824026,-4.2773069684139635,7.121970513957754,1.1768471697061809,1.1041096039414224,0.0,2.2066892942290757,80,Water/Environmental,Equity,0.6,2020-07-06,2025-07-02
Invesco_WilderHill_Clean_Energy,45.067345175420144,13.392712593078612,122.40480041503906,24.328513117992706,-0.011767151947770614,-9.676174044197728,11.922502133939261,2.7997450340049586,2.6742603839296217,0.0,4.681962300442305,90,Clean Energy,Equity,0.7,2020-07-06,2025-07-02
SPDR_SSGA_Gender_Diversity,92.24864970051435,66.83255004882812,125.0749969482422,14.57563279339981,0.054844429544774836,-5.638128675820331,8.173535808669374,1.109581391831539,1.0088067747042344,0.0,2.4075957369924676,85,ESG Equity,Equity,0.2,2020-07-06,2025-07-02
Schwab_US_Large_Cap_Growth,19.316066603641588,12.92860221862793,29.209999084472656,4.4374026418614525,0.07459996352216049,-6.114806808837503,11.585092090584048,1.4547369806379975,1.3357230711910735,0.0,3.1995237102584997,85,ESG Equity,Equity,0.04,2020-07-06,2025-07-02
VanEck_Green_Bond,22.758566515189244,19.98838996887207,24.39712142944336,1.2089727724718502,0.0016176204581244348,-1.6286625108775432,1.7047865784944882,0.31011234547208855,0.28599204968918884,0.0,0.5864221894675009,95,Green Bonds,Fixed Income,0.2,2020-07-06,2025-07-02
Vanguard_ESG_US_Stock,79.00414582514668,54.08348846435547,110.04000091552734,14.069943236661565,0.06281209229038703,-5.625861506481266,9.870010880448877,1.1817961155248218,1.0765753964222355,0.0,2.7846871401194635,85,ESG Equity,Equity,0.12,2020-07-06,2025-07-02
iShares_Global_Clean_Energy,17.375720663944563,10.448843002319336,31.42340850830078,4.165181842501067,0.022598289866041458,-7.333326989419087,8.352055505046962,1.8559153579048988,1.7321073224550705,0.0,3.8327472794231325,90,Clean Energy,Equity,0.42,2020-07-06,2025-07-02
iShares_Global_Green_Bond,45.3568364268755,39.94576644897461,49.41157150268555,2.5599817717642006,7.887263393134795e-05,-1.2998148507540663,2.7740465664012337,0.3453808768917947,0.31777721761054656,0.0,0.67016585979763,95,Green Bonds,Fixed Income,0.2,2020-07-06,2025-07-02
iShares_MSCI_EAFE_ESG_Select,68.61665563089439,51.20621871948242,89.25,8.038382415303753,0.04497573475489627,-6.616005766503852,7.395238642604451,1.0437348950543324,0.9701587184078977,0.0,2.2134235954108075,85,ESG Equity,Equity,0.25,2020-07-06,2025-07-02
iShares_MSCI_KLD_400_Social,83.89157076527873,56.47186279296875,116.75,15.118728129160887,0.0636156035274128,-5.579657743275979,9.572145726765813,1.1544912645428425,1.0594077306854173,0.0,2.651113897349712,85,ESG Equity,Equity,0.25,2020-07-06,2025-07-02
iShares_MSCI_USA_ESG_Select,77.17544814941893,51.30768966674805,108.52999877929688,14.783861134963994,0.06525584764888015,-5.859588197635857,9.057123848640414,1.126295646492066,1.0356612912078036,0.0,2.5655050018102186,85,ESG Equity,Equity,0.25,2020-07-06,2025-07-02
